År,Nedbør i Oslo i januar (mm)
1890,69.1
1891,70.3
1892,41.8
1893,54.5
1894,64.6
1895,32
1896,14.0
1897,39.0
1898,37
1899,70
1900,40
1901,21
1902,14
1903,59
1904,78
1905,6
1906,83
1907,46
1908,22
1909,35
1910,64
1911,46
1912,17
1913,62
1914,14
1915,150
1916,96
1917,19
1918,61
1919,182
1920,170
1921,78
1922,43
1923,101
1924,105
1925,73
1926,102
1927,239
1928,129
1929,26
1930,140
1931,106
1932,70
1933,100
1934,161
1935,55
1936,194
1937,74
1938,106
1939,133
1940,23
1941,9
1942,12
1943,97
1944,60
1945,39
1946,47
1947,44
1948,128
1949,117
1950,50
1951,100
1952,43
1953,38
1954,85
1955,53
1956,83
1957,61.2
1958,66.3
1959,116.4
1960,76.3
1961,78.2
1962,102.7
1963,3.8
1964,13.8
1965,116.7
1966,48.8
1967,82.7
1968,72.1
1969,201.7
1970,46.2
1971,83.5
1972,47.4
1973,50.8
1974,117.5
1975,195.7
1976,37.4
1977,118.1
1978,98.4
1979,29.6
1980,42.5
1981,22.6
1982,30.8
1983,34.7
1984,100.3
1985,62.2
1986,101.0
1987,19
1988,183.5
1989,27.9
1990,164.3
1991,114
1992,16.7
1993,67.6
1994,125.2